"ВУЗ";"ФИО";"Номер диплома";"Пароль"
"ЮРГПУ (НПИ)";"Семёнов Ольга Дмитриевна";"ДП-2011-1033";"ajd9Mj6_8zNPy5jt"
"ЮРГПУ (НПИ)";"Сидоров Максим Павлович";"ДП-2016-1022";"cJOO82mxu6QaQAhs"
"ЮРГПУ (НПИ)";"Сидоров Максим Сергеевич";"ДП-2012-1002";"gjkhr4lKlBBLqcf-"
"ЮРГПУ (НПИ)";"Сидоров Максим Сергеевич";"ДП-2020-1042";"Dz2I_2Od5OBXz9qC"
"ЮРГПУ (НПИ)";"Смирнов Ольга Ивановна";"ДП-2013-1003";"qlJ2rS8bVOijwvAy"
"ЮРГПУ (НПИ)";"Смирнов Ольга Ивановна";"ДП-2021-1043";"flT4Unnv-KjKWEoy"
"ЮРГПУ (НПИ)";"Смирнов Ольга Олеговна";"ДП-2017-1023";"KFEwv2oIhyDsAfaF"
"ЮРГПУ (НПИ)";"Степанов Татьяна Андреевна";"ДП-2015-1037";"nz5mad9YMVULcNPu"
"ЮРГПУ (НПИ)";"Степанов Татьяна Дмитриевна";"ДП-2011-1017";"llwCBpSs_bZxtAMY"
"ЮРГПУ (НПИ)";"Фёдоров Даниил Александрович";"ДП-2018-1008";"KHN9Ctfl6qFG2X1o"
"ЮРГПУ (НПИ)";"Фёдоров Даниил Александрович";"ДП-2010-1048";"sL-S443xdEUND_mv"
"ЮРГПУ (НПИ)";"Фёдоров Даниил Максимович";"ДП-2022-1028";"6qCIEtRHqz2bi0Ng"
